Código de Ubigeo,DISTRITOS,SIN EDUCACIÓN FORMAL,EDUCACIÓN ESPECIAL INCOMPLETA,EDUCACIÓN ESPECIAL COMPLETA,EDUCACIÓN PRIMARIA INCOMPLETA,EDUCACIÓN PRIMARIA COMPLETA,EDUCACIÓN SECUNDARIA INCOMPLETA,EDUCACIÓN SECUNDARIA COMPLETA,EDUCACIÓN TÉCNICA INCOMPLETA,EDUCACIÓN TÉCNICA COMPLETA,"EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) INCOMPLETA","EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) COMPLETA",EDUCACIÓN UNIVERSITARIA INCOMPLETA,EDUCACIÓN UNIVERSITARIA COMPLETA,GRADO DE BACHILLER,TITULADO,ESTUDIOS DE MAESTRÍA INCOMPLETA,ESTUDIOS DE MAESTRÍA COMPLETA,GRADO DE MAESTRÍA,ESTUDIOS DE DOCTORADO INCOMPLETO,ESTUDIOS DE DOCTORADO COMPLETO,GRADO DE DOCTOR,NO DETERMINADO
010101,CHACHAPOYAS, 3 946 , 3 201 , 1 219 , 5 344 , 4 946 , 3 989 , 4 044 , 4 231 , 4 153 , 4 467 , 5 716 , 4 146 , 6 475 , 6 142 , 8 259 , 1 880 , 8 154 , 3 766 , - , - , - , 2 442 
010103,BALSAS, - , - , - , - , - , - , - , - , - , - , - , - , - , 6 538 , 5 643 , - , - , - , - , - , - , - 
010107,GRANADA, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 294 , - , - , - , - , - , - , - 
010108,HUANCAS, - , - , - , - , - , - , 899 , - , 1 613 , - , - , - , - , - , - , - , - , - , - , - , - , - 
010109,LA JALCA, - , - , - , 930 , - , - , 1 023 , - , - , - , 1 000 , - , - , - , 2 018 , - , - , - , - , - , - , - 
010110,LEIMEBAMBA, - , - , - , - , - , 930 , 3 128 , 989 , 3 548 , 2 112 , - , - , 1 314 , 2 500 , - , - , - , - , - , - , - , - 
010111,LEVANTO, - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010112,MAGDALENA, - , - , - , - , - , - , 1 773 , - , 1 923 , - , - , - , 1 008 , - , - , - , - , - , - , - , - , - 
010114,MOLINOPAMPA, - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010120,SOLOCO, - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
010201,BAGUA, 2 371 , 930 , 2 240 , 4 385 , 3 218 , 3 751 , 3 468 , 3 582 , 3 680 , 5 143 , 5 167 , 3 728 , 5 425 , 5 882 , 5 308 , 2 217 , - , 6 000 , - , - , 4 000 , 2 568 
010202,ARAMANGO, - , - , - , - , 1 000 , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 930 
010203,COPALLIN, - , - , - , - , - , - , - , - , - , - , - , 500 , - , - , - , - , - , - , - , - , - , 930 
010204,EL PARCO, - , - , - , 2 145 , 930 , - , 4 557 , - , 1 500 , - , - , - , 2 100 , - , 12 267 , - , - , - , - , - , - , - 
010205,IMAZA, - , - , - , - , 930 , 930 , 4 496 , 1 885 , 1 053 , 930 , 930 , 2 083 , 2 107 , - , 930 , - , - , - , - , - , - , 930 
010206,LA PECA, - , 930 , - , 2 187 , 2 463 , 1 060 , 7 397 , 5 464 , 2 599 , 2 338 , 7 688 , 3 654 , 5 519 , 3 587 , 6 224 , - , - , - , - , - , - , 2 834 
010301,JUMBILLA, - , - , - , - , - , 905 , 2 443 , - , 1 780 , - , 930 , - , 1 500 , - , 930 , - , - , - , - , - , - , - 
010302,CHISQUILLA, - , - , - , - , - , - , 1 110 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010303,CHURUJA, - , - , - , - , - , - , - , - , - , - , 1 093 , - , - , - , - , - , - , - , - , - , - , - 
010305,CUISPES, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 093 , - , - , - , - , - , - , - 
010306,FLORIDA, - , - , - , - , 1 023 , 930 , 1 951 , - , 950 , 1 108 , - , - , - , - , - , - , - , - , - , - , - , - 
010307,JAZAN, 1 100 , - , - , 1 314 , 2 211 , 2 094 , 3 512 , 2 986 , 4 233 , 2 028 , 4 221 , 4 285 , 4 245 , 2 621 , 6 245 , - , - , - , - , - , - , 1 554 
010310,SHIPASBAMBA, - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
010311,VALERA, - , - , - , 1 276 , 2 258 , 2 829 , 3 312 , 2 091 , 3 964 , 1 505 , 3 468 , 1 259 , 930 , 1 325 , 2 660 , 4 300 , - , - , - , - , - , - 
010312,YAMBRASBAMBA, 930 , - , - , - , - , 1 693 , 2 886 , - , 4 000 , - , - , - , 6 975 , - , 930 , - , - , - , - , - , - , - 
010401,NIEVA, 1 293 , - , - , 2 746 , 2 455 , 3 392 , 3 346 , 899 , 4 788 , 1 866 , 4 192 , 3 762 , 8 577 , 8 817 , 6 199 , - , - , 1 700 , - , - , - , 930 
010402,EL CENEPA, - , - , - , - , 1 261 , 2 649 , 5 286 , 4 434 , 7 439 , 4 360 , 8 112 , 1 825 , 7 835 , - , - , - , - , - , - , - , - , 1 353 
010403,RIO SANTIAGO, - , - , - , - , 1 972 , - , 3 677 , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010501,LAMUD, - , - , - , - , - , - , 2 814 , - , 1 350 , 930 , 2 410 , - , 3 093 , - , 2 069 , - , - , - , - , - , - , - 
010502,CAMPORREDONDO, - , - , - , - , - , - , 1 403 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010505,CONILA, - , - , - , - , - , - , 1 833 , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010509,LUYA, - , - , - , - , - , - , 873 , 961 , 930 , 1 860 , - , 1 041 , - , - , - , - , - , - , - , - , - , - 
010513,OCUMAL, - , - , - , - , - , - , - , - , - , - , - , - , 1 643 , - , - , - , - , - , - , - , - , - 
010514,PISUQUIA, - , - , - , - , - , - , 2 238 , - , 2 154 , - , - , - , - , - , 4 717 , - , - , - , - , - , - , - 
010517,SAN FRANCISCO DEL YESO, - , - , - , - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - 
010521,SANTO TOMAS, - , - , - , - , - , - , 1 119 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
010522,TINGO, - , - , - , - , - , - , 4 713 , 1 288 , 6 851 , 1 909 , - , 1 194 , 7 784 , 1 734 , 1 925 , - , - , - , - , - , - , - 
010601,SAN NICOLAS, 2 760 , 3 455 , - , - , 3 888 , 2 122 , 4 576 , 3 062 , 5 773 , 2 293 , 7 674 , 5 067 , 5 942 , 5 423 , 8 846 , - , 3 493 , - , - , - , - , 1 800 
010602,CHIRIMOTO, - , - , - , - , - , - , - , - , - , - , 388 , - , - , - , - , - , - , - , - , - , - , - 
010603,COCHAMAL, - , - , - , - , - , - , - , - , - , - , 1 047 , - , - , - , 4 049 , - , - , - , - , - , - , - 
010604,HUAMBO, - , - , - , - , - , - , 1 960 , - , 3 422 , 1 646 , 2 843 , 2 330 , - , - , - , - , - , - , - , - , - , - 
010605,LIMABAMBA, - , - , - , - , 3 361 , - , 2 396 , - , 2 589 , - , - , - , 818 , - , 2 443 , - , - , - , - , - , - , - 
010606,LONGAR, - , - , - , - , - , 930 , 1 807 , - , 1 062 , - , - , - , 4 100 , 3 671 , 5 049 , - , - , - , - , - , - , - 
010607,MARISCAL BENAVIDES, - , - , - , - , - , 930 , 1 915 , - , 930 , - , - , - , - , - , 1 925 , - , - , - , - , - , - , - 
010609,OMIA, - , - , - , - , - , 1 863 , 2 807 , 1 000 , 1 997 , - , - , - , 1 800 , - , - , - , - , - , - , - , - , - 
010610,SANTA ROSA, - , - , - , - , - , - , 930 , - , - , - , - , 1 000 , - , - , - , - , - , - , - , - , - , - 
010611,TOTORA, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 967 , - , - , - , - , - , - , - 
010701,BAGUA GRANDE, 4 016 , - , 930 , 3 588 , 3 091 , 3 555 , 3 681 , 3 781 , 3 967 , 3 817 , 5 445 , 4 047 , 5 276 , 7 445 , 7 945 , - , 3 428 , 8 000 , - , 5 643 , 2 825 , 3 240 
010702,CAJARURO, 930 , - , - , 2 061 , 2 736 , 2 363 , 3 467 , 3 586 , 4 763 , 2 687 , 1 173 , 1 953 , 4 238 , 1 117 , 3 649 , - , - , - , - , - , - , 930 
010703,CUMBA, - , - , - , - , 1 000 , 1 481 , 2 394 , 2 383 , 2 080 , 2 250 , - , 930 , - , - , 930 , - , - , - , - , - , - , - 
010704,EL MILAGRO, 1 095 , - , 643 , 2 969 , 3 364 , 3 711 , 4 834 , 2 797 , 3 251 , 3 252 , 4 854 , 1 657 , 6 858 , - , 3 070 , - , - , - , - , - , - , 2 274 
010705,JAMALCA, - , - , - , - , - , - , 1 860 , - , 878 , - , - , - , - , - , - , - , - , - , - , - , - , - 
010706,LONYA GRANDE, - , - , - , - , 2 286 , 1 395 , 4 220 , 2 960 , 5 269 , 2 866 , 4 368 , 3 199 , 4 392 , 2 888 , 6 165 , - , - , - , - , - , - , 930 
010707,YAMON, - , - , - , - , - , - , - , - , - , - , 5 093 , - , - , - , - , - , - , - , - , - , - , - 
020101,HUARAZ, 3 817 , 1 364 , 3 388 , 3 134 , 3 916 , 3 827 , 4 251 , 4 536 , 4 430 , 3 888 , 5 289 , 4 732 , 7 050 , 7 137 , 7 101 , 13 076 , 13 627 , 10 019 , 22 473 , 6 500 , 1 722 , 4 096 
020102,COCHABAMBA, - , - , - , - , - , - , - , - , 3 897 , - , - , 5 000 , 2 500 , - , - , - , - , - , - , - , - , - 
020103,COLCABAMBA, - , - , - , - , - , - , 1 980 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
020104,HUANCHAY, - , - , - , 993 , 2 087 , 1 681 , 3 902 , - , 2 077 , 1 475 , 2 393 , - , - , - , 26 004 , 5 149 , - , - , - , - , - , - 
020105,INDEPENDENCIA, 3 589 , 4 103 , 3 223 , 4 260 , 3 625 , 4 193 , 4 445 , 4 624 , 4 722 , 3 997 , 5 243 , 4 965 , 6 129 , 5 388 , 6 057 , 7 010 , 4 905 , 8 660 , - , 6 288 , 7 437 , 3 137 
020106,JANGAS, - , - , - , - , 1 144 , 8 252 , 6 925 , 1 330 , 10 838 , 2 778 , 12 944 , 9 687 , 32 039 , 28 962 , 87 947 , - , - , - , - , - , - , 11 325 
020108,OLLEROS, - , - , - , - , - , - , - , - , - , - , - , - , 930 , - , 1 023 , - , - , - , - , - , - , - 
020110,PARIACOTO, - , - , - , - , - , - , - , - , - , - , - , - , 1 000 , - , 3 593 , - , - , - , - , - , - , - 
020111,PIRA, - , - , - , - , 1 213 , - , 4 935 , 1 057 , 7 437 , - , 1 567 , 5 097 , 8 570 , 8 938 , 13 961 , - , - , - , - , - , - , - 
020112,TARICA, - , - , - , 930 , - , 1 039 , 3 639 , 915 , 3 516 , 2 664 , - , 2 126 , 7 041 , 4 233 , 8 511 , - , - , - , - , - , - , 800 
020201,AIJA, 2 622 , - , - , - , 5 710 , 2 438 , 4 550 , 3 273 , 7 503 , 1 704 , 5 793 , 3 147 , 10 224 , 1 961 , 11 727 , - , - , - , - , - , - , 1 350 
020202,CORIS, - , - , - , - , - , - , 3 493 , 2 690 , 2 167 , - , - , - , - , - , - , - , - , - , - , - , - , - 
020204,LA MERCED, - , - , - , 1 731 , 3 845 , 3 804 , 3 951 , 2 556 , 2 027 , - , 4 308 , 2 103 , 3 374 , 3 959 , 5 300 , - , - , - , - , - , - , - 
